_time	incident_id	description	alert_sources	alert_categories
Aug 08 2026 08:01:30	20286	'Google Compute Engine instance with web server ports exposed to the public internet' along with 5 other issues generated by CSPM Scanner and Cloud Network Analyzer	CSPM_SCANNER,CLOUD_NETWORK_ANALYZER	POSTURE,CONFIGURATION
Aug 08 2026 08:01:21	20289	'Google Compute Engine instance with management ports exposed to the public internet' along with 5 other issues generated by CSPM Scanner and Cloud Network Analyzer	CSPM_SCANNER,CLOUD_NETWORK_ANALYZER	POSTURE,CONFIGURATION
Aug 08 2026 02:02:48	20276	'Google Compute Engine instance exposed to the public internet' along with 9 other issues generated by CSPM Scanner and Cloud Network Analyzer	CSPM_SCANNER,CLOUD_NETWORK_ANALYZER	POSTURE,CONFIGURATION
Aug 08 2026 02:02:37	20274	'Google Compute Engine instance with management ports exposed to the public internet' along with 9 other issues generated by CSPM Scanner and Cloud Network Analyzer	CSPM_SCANNER,CLOUD_NETWORK_ANALYZER	POSTURE,CONFIGURATION
Aug 08 2026 02:02:14	20264	'Google Compute Engine instance with management ports exposed to the public internet' along with 9 other issues generated by CSPM Scanner and Cloud Network Analyzer	CSPM_SCANNER,CLOUD_NETWORK_ANALYZER	POSTURE,CONFIGURATION
Aug 08 2026 02:02:10	20278	'Google Compute Engine instance exposed to the public internet' along with 9 other issues generated by CSPM Scanner and Cloud Network Analyzer	CSPM_SCANNER,CLOUD_NETWORK_ANALYZER	POSTURE,CONFIGURATION
Aug 07 2026 20:59:29	20223	OpenSSH is a suite of open source secure networking utilities based on the Secure Shell (SSH) protocol, which provides a secure channel over an unsecured network in a client-server architecture. OpenSSH provides secure alternatives to unencrypted protocols like Telnet and FTP. This issue identifies observed versions of OpenSSH.	XPANSE	CONFIGURATION
Aug 07 2026 20:59:19	20228	OpenSSH is a suite of open source secure networking utilities based on the Secure Shell (SSH) protocol, which provides a secure channel over an unsecured network in a client-server architecture. OpenSSH provides secure alternatives to unencrypted protocols like Telnet and FTP. This issue identifies observed versions of OpenSSH.	XPANSE	CONFIGURATION
Aug 07 2026 20:59:15	20227	"OpenSSH is a suite of open source secure networking utilities based on the Secure Shell (SSH) protocol, which provides a secure channel over an unsecured network in a client-server architecture. OpenSSH provides secure alternatives to unencrypted protocols like Telnet and FTP. This issue identifies versions of OpenSSH prior to 10.1, which may be exploited by vulnerabilities such as CVE-2024-6387, CVE-2023-25136, CVE-2021-28041, CVE-2021-41617, and CVE-2023-38408.

Note: This issue policy extracts OpenSSH's self reported version in the SSH Banner. Certain Linux/Unix vendors like Red Hat, CentOS, Debian, Ubuntu backport versions of open source packages like Apache, OpenSSH, PHP and BIND. The term backporting describes the action of taking a fix for a security flaw out of the most recent version of an upstream software package and applying that fix to an older version of the package distributed by these Linux/Unix vendors. If the SSH Banner reports the underlying OS, this policy implies a potentially insecure version which may be backported."	XPANSE	CONFIGURATION
Aug 07 2026 20:59:11	20226	"Secure Shell (SSH) servers provide remote terminal access.

Having an exposed SSH server is risky because many of its default installation configurations are insecure and they're commonly exploited as a result. When exploitation succeeds, attackers can gain remote access into the network. While the exploit still needs a knowledgeable attacker, these servers are such a frequent target that there is material risk associated with public facing SSH Server."	XPANSE	CONFIGURATION
Aug 07 2026 20:59:06	20225	"OpenSSH is a suite of open source secure networking utilities based on the Secure Shell (SSH) protocol, which provides a secure channel over an unsecured network in a client-server architecture. OpenSSH provides secure alternatives to unencrypted protocols like Telnet and FTP. This issue identifies versions of OpenSSH prior to 10.1, which may be exploited by vulnerabilities such as CVE-2024-6387, CVE-2023-25136, CVE-2021-28041, CVE-2021-41617, and CVE-2023-38408.

Note: This issue policy extracts OpenSSH's self reported version in the SSH Banner. Certain Linux/Unix vendors like Red Hat, CentOS, Debian, Ubuntu backport versions of open source packages like Apache, OpenSSH, PHP and BIND. The term backporting describes the action of taking a fix for a security flaw out of the most recent version of an upstream software package and applying that fix to an older version of the package distributed by these Linux/Unix vendors. If the SSH Banner reports the underlying OS, this policy implies a potentially insecure version which may be backported."	XPANSE	CONFIGURATION
Aug 07 2026 20:59:02	20224	"Secure Shell (SSH) servers provide remote terminal access.

Having an exposed SSH server is risky because many of its default installation configurations are insecure and they're commonly exploited as a result. When exploitation succeeds, attackers can gain remote access into the network. While the exploit still needs a knowledgeable attacker, these servers are such a frequent target that there is material risk associated with public facing SSH Server."	XPANSE	CONFIGURATION
Aug 07 2026 14:01:02	20252	'Google Compute Engine instance with management ports exposed to the public internet' along with 5 other issues generated by CSPM Scanner and Cloud Network Analyzer	CSPM_SCANNER,CLOUD_NETWORK_ANALYZER	POSTURE,CONFIGURATION
Aug 07 2026 14:00:31	20249	'Google Compute Engine instance exposed to the public internet' along with 5 other issues generated by CSPM Scanner and Cloud Network Analyzer	CSPM_SCANNER,CLOUD_NETWORK_ANALYZER	POSTURE,CONFIGURATION
Aug 07 2026 14:00:26	20230	'Google Compute Engine instance with management ports exposed to the public internet' along with 5 other issues generated by CSPM Scanner and Cloud Network Analyzer	CSPM_SCANNER,CLOUD_NETWORK_ANALYZER	POSTURE,CONFIGURATION
Aug 07 2026 14:00:19	20251	'Google Compute Engine instance exposed to the public internet' along with 5 other issues generated by CSPM Scanner and Cloud Network Analyzer	CSPM_SCANNER,CLOUD_NETWORK_ANALYZER	POSTURE,CONFIGURATION
Aug 07 2026 13:59:52	20250	'Google Compute Engine instance exposed to the public internet' along with 5 other issues generated by CSPM Scanner and Cloud Network Analyzer	CSPM_SCANNER,CLOUD_NETWORK_ANALYZER	POSTURE,CONFIGURATION
Aug 07 2026 13:59:14	20229	'Google Compute Engine instance exposed to the public internet' along with 5 other issues generated by CSPM Scanner and Cloud Network Analyzer	CSPM_SCANNER,CLOUD_NETWORK_ANALYZER	POSTURE,CONFIGURATION
